frame,numero_pers,max_x,max_y,min_x,min_y,est_joueur
39,7,525.477,120.017,474.571,57.3244,0
39,6,1148.47,441.269,1062.32,302.124,0
39,12,554.876,411.872,472.66,249.348,1
39,2,672.52,133.688,633.224,23.957,0
39,8,972.231,198.348,927.174,69.0245,0
39,10,167.043,413.905,106.261,321.937,0
39,11,394.292,98.4562,355.135,47.5164,0
39,13,458.877,104.309,417.791,61.2354,0
39,9,382.54,5.35225,366.829,5.3468,0
40,0,791.907,106.28,740.986,24.0726,0
40,5,848.8,116.127,803.728,67.0341,0
40,4,278.719,159.173,223.863,39.6099,0
40,12,553.008,411.865,470.718,257.157,1
40,1,729.239,556.934,558.841,382.488,1
40,3,901.708,135.675,868.3,55.3174,0
40,6,1146.62,441.263,1062.32,302.127,0
40,7,525.481,120.022,474.57,57.3374,0
40,2,672.493,131.79,633.196,22.1074,0
40,8,972.234,196.456,927.171,69.0214,0
40,10,167.013,413.91,104.406,323.765,0
40,11,396.165,98.4466,355.147,47.5139,0
40,13,458.867,104.307,417.782,61.2296,0
40,9,382.538,5.35238,366.825,5.34693,0
41,0,790.03,110.208,740.983,24.07,0
41,1,727.405,556.875,562.766,380.536,1
41,5,850.693,116.134,803.724,65.1606,0
41,4,278.723,159.19,223.863,39.6081,0
41,3,901.715,139.61,868.288,55.3145,0
41,12,554.98,409.921,472.627,261.124,1
